BusinessEntityID,Rate,PayFrequency
1,125.5,2
2,63.4615,3
3,43.2692,2
4,8.62,2
4,23.72,2
4,29.8462,2
5,32.6923,2
6,32.6923,1
7,50.4808,2
8,40.8654,2
9,40.8654,3
10,42.4808,2
11,28.8462,1
12,25,2
13,25,2
14,36.0577,2
15,32.6923,2
16,24,2
16,28.75,2
16,37.5,1
17,13.4615,2
18,14.4231,3
19,13.4615,2
20,13.4615,2
21,14.4231,2
22,14.4231,2
23,14.4231,2
24,14.4231,1
25,84.1346,2
26,24.5192,2
27,25,2
28,12.45,1
29,12.45,1
30,12.45,1
31,12.45,1
32,12.45,1
33,12.45,1
34,12.45,1
35,12.45,1
36,12.45,1
37,12.45,1
38,12.45,1
39,12.45,1
40,25,2
41,12.45,1
42,12.45,1
43,12.45,1
44,12.45,1
45,12.45,1
46,12.45,1
47,25,2
48,13.45,1
49,13.45,1
50,13.45,1
51,13.45,1
52,13.45,1
53,13.45,1
54,13.45,1
55,25,2
56,11,1
57,11,1
58,11,1
59,11,1
60,11,1
61,11,1
62,25,2
63,12.45,1
64,12.45,1
65,12.45,1
66,12.45,1
67,12.45,1
68,12.45,1
69,12.45,1
70,12.45,1
71,25,2
72,9.5,1
73,9.5,1
74,9.5,1
75,9.5,1
76,9.5,1
77,9.5,1
78,25,2
79,15,1
80,15,1
81,15,1
82,15,1
83,15,1
84,15,1
85,15,1
86,15,1
87,25,2
88,13.45,1
89,13.45,1
90,13.45,1
91,13.45,1
92,13.45,1
93,25,2
94,11,1
95,11,1
96,11,1
97,11,1
98,11,1
99,11,1
100,11,1
101,11,1
102,25,2
103,13.45,1
104,13.45,1
105,13.45,1
106,13.45,1
107,13.45,1
108,25,2
109,11,1
110,11,1
111,11,1
112,11,1
113,11,1
114,11,1
115,11,1
116,11,1
117,11,1
118,11,1
119,11,1
120,11,1
121,19.2308,2
122,9,1
123,9.5,2
124,9,1
125,9.5,2
126,9,1
127,25,2
128,15,1
129,15,1
130,15,1
131,15,1
132,15,1
133,15,1
134,25,2
135,14,1
136,14,1
137,14,1
138,14,1
139,14,1
140,14,1
141,14,1
142,14,1
143,14,1
144,14,1
145,25,2
146,9.5,1
147,9.5,1
148,9.5,1
149,9.5,1
150,9.5,1
151,9.5,1
152,25,2
153,14,1
154,14,1
155,14,1
156,14,1
157,14,1
158,14,1
159,14,1
160,25,2
161,10,1
162,10,1
163,10,1
164,10,1
165,10,1
166,25,2
167,6.5,1
167,7.25,1
167,9.5,1
168,9.5,1
169,9.5,1
170,6.5,1
170,7.25,1
170,9.5,1
171,9.5,1
172,6.5,1
172,7.25,1
172,9.5,1
173,9.5,1
174,6.75,1
174,7.25,1
174,9.5,1
175,6.5,1
175,7.25,1
175,9.5,1
176,6.5,1
176,7.25,1
176,9.5,1
177,6.5,1
177,7.25,1
177,9.5,1
178,6.5,1
178,7,1
178,9.5,1
179,9.5,1
180,25,2
181,14,1
182,14,1
183,14,1
184,14,1
185,14,1
186,25,2
187,10,1
188,10,1
189,10,1
190,10,1
191,10,1
192,25,2
193,15,1
194,15,1
195,15,1
196,15,1
197,15,1
198,15,1
199,15,1
200,15,1
201,15,1
202,15,1
203,15,1
204,15,1
205,25,2
206,10,1
207,10,1
208,10,1
209,10,1
210,10,1
211,28.8462,2
212,21.6346,2
213,10.5769,2
214,10.5769,2
215,10.5769,2
216,10.5769,2
217,17.7885,2
218,16.8269,2
219,10.25,2
220,10.25,2
221,16.8269,2
222,23.5577,2
223,16,2
224,8.62,2
224,13.5,2
224,16,2
225,16,2
226,16,2
227,24.0385,2
228,20.4327,2
229,9.25,1
230,9.25,1
231,9.25,1
232,9.25,1
233,9.75,2
234,39.06,2
234,48.5577,2
234,60.0962,2
235,27.1394,2
236,13.9423,2
237,13.9423,2
238,18.2692,2
239,16.5865,2
240,18.2692,2
241,34.7356,2
242,19,2
243,19,2
244,19,2
245,26.4423,2
246,19,2
247,19,2
248,26.4423,2
249,43.2692,2
250,9.86,2
250,22.5,2
250,30,2
251,18.2692,2
252,18.2692,2
253,18.2692,2
254,18.2692,2
255,18.2692,2
256,18.2692,2
257,18.2692,2
258,18.2692,2
259,18.2692,2
260,12.75,2
261,12.75,2
262,13.4615,2
263,50.4808,2
264,39.6635,2
265,32.4519,2
266,32.4519,2
267,27.4038,2
268,27.4038,2
269,27.4038,2
270,38.4615,2
271,38.4615,2
272,27.4038,2
273,72.1154,2
274,48.101,2
275,23.0769,2
276,23.0769,2
277,23.0769,2
278,23.0769,2
279,23.0769,2
280,23.0769,2
281,23.0769,2
282,23.0769,2
283,23.0769,2
284,23.0769,2
285,48.101,2
286,23.0769,2
287,48.101,2
288,23.0769,2
289,23.0769,2
290,23.0769,2
